name,geog,lung_cancer_rate_per100k
"Johnson County, Missouri",29101,71.9
"Coahoma County, Mississippi",28027,71.8
"Montgomery County, Iowa",19137,71.8
"Pike County, Missouri",29163,71.8
"Parker County, Texas",48367,71.8
"Forrest County, Mississippi",28035,71.7
"Sargent County, North Dakota",38081,71.7
"Lawrence County, Alabama",01079,71.7
"Onondaga County, New York",36067,71.7
"Randolph County, West Virginia",54083,71.7
"Johnston County, North Carolina",37101,71.6
"Miller County, Missouri",29131,71.6
"Windham County, Connecticut",09015,71.6
"Cheatham County, Tennessee",47021,71.5
"East Feliciana Parish, Louisiana",22037,71.5
"Kenosha County, Wisconsin",55059,71.5
"Jackson County, Illinois",17077,71.5
"St. Clair County, Illinois",17163,71.4
"Rock County, Wisconsin",55105,71.4
"Berkeley County, West Virginia",54003,71.4
"Franklin County, Tennessee",47051,71.4
"Cass County, Iowa",19029,71.4
"Cross County, Arkansas",05037,71.4
"Winn Parish, Louisiana",22127,71.3
"Panola County, Texas",48365,71.2
"Putnam County, Tennessee",47141,71.2
"Ralls County, Missouri",29173,71.2
"Ringgold County, Iowa",19159,71.2
"Adams County, Illinois",17001,71.1
"Red River Parish, Louisiana",22081,71.1
"Marion County, Florida",12083,71
"Elmore County, Alabama",01051,71
"Faulkner County, Arkansas",05045,71
"Sebastian County, Arkansas",05131,71
"Boone County, Iowa",19015,71
"McDonald County, Missouri",29119,71
"York County, Maine",23031,71
"Santa Rosa County, Florida",12113,70.9
"Alexander County, North Carolina",37003,70.9
"Clay County, Florida",12019,70.9
"Haywood County, North Carolina",37087,70.9
"Laclede County, Missouri",29105,70.9
"Mason County, Washington",53045,70.8
"DeSoto County, Mississippi",28033,70.8
"Bell County, Texas",48027,70.8
"Seneca County, New York",36099,70.8
"Cape May County, New Jersey",34009,70.8
"Belmont County, Ohio",39013,70.8
"Chautauqua County, New York",36013,70.7
"Towns County, Georgia",13281,70.7
"Webster County, Mississippi",28155,70.6
"Ohio County, West Virginia",54069,70.6
"Monona County, Iowa",19133,70.6
"Clermont County, Ohio",39025,70.5
"Union County, Arkansas",05139,70.5
"Comanche County, Oklahoma",40031,70.5
"Monroe County, Wisconsin",55081,70.5
"Jefferson County, Mississippi",28063,70.4
"White County, Illinois",17193,70.4
"Lincoln County, Georgia",13181,70.4
"Caldwell County, North Carolina",37027,70.4
"Jasper County, Mississippi",28061,70.4
"Livingston Parish, Louisiana",22063,70.4
"Wayne County, North Carolina",37191,70.3
"Lincoln County, North Carolina",37109,70.3
"Berrien County, Georgia",13019,70.3
"White County, Tennessee",47185,70.3
"Paulding County, Georgia",13223,70.3
"Lincoln County, Montana",30053,70.3
"Sharkey County, Mississippi",28125,70.3
"Luzerne County, Pennsylvania",42079,70.3
"Adair County, Iowa",19001,70.2
"Montgomery County, Georgia",13209,70.2
"Carroll County, Mississippi",28015,70.2
"Coleman County, Texas",48083,70.2
"Volusia County, Florida",12127,70.2
"Mecosta County, Michigan",26107,70.2
"Etowah County, Alabama",01055,70.2
"Chesterfield County, South Carolina",45025,70.2
"Hillsdale County, Michigan",26059,70.2
"Bolivar County, Mississippi",28011,70.2
"Wood County, Texas",48499,70.2
"Jefferson Davis Parish, Louisiana",22053,70.2
"Webster County, Iowa",19187,70.1
"Moultrie County, Illinois",17139,70.1
"Greene County, North Carolina",37079,70.1
"Cook County, Georgia",13075,70.1
"Cumberland County, North Carolina",37051,70.1
"Bollinger County, Missouri",29017,70.1
"Jackson County, Georgia",13157,70
"Van Zandt County, Texas",48467,70
"St. Mary Parish, Louisiana",22101,70
"Warren County, New York",36113,70
"Vance County, North Carolina",37181,69.9
"Young County, Texas",48503,69.9
"Marion County, Texas",48315,69.9
"Jackson County, Michigan",26075,69.9
"Genesee County, New York",36037,69.9
"Berrien County, Michigan",26021,69.8
"Cleveland County, Arkansas",05025,69.8
"Ocean County, New Jersey",34029,69.8
"Anderson County, Tennessee",47001,69.8
"Tallapoosa County, Alabama",01123,69.7
"Winston County, Alabama",01133,69.7
"Franklin County, Alabama",01059,69.7
"Minnehaha County, South Dakota",46099,69.6
"Prairie County, Arkansas",05117,69.6
"Lawrence County, Pennsylvania",42073,69.6
"Trigg County, Kentucky",21221,69.6
"Clay County, South Dakota",46027,69.6
"Bristol County, Massachusetts",25005,69.6
"Duval County, Florida",12031,69.5
"Pocahontas County, Iowa",19151,69.5
"Baldwin County, Georgia",13009,69.5
"Yuba County, California",06115,69.5
"Pike County, Georgia",13231,69.5
"Juneau County, Wisconsin",55057,69.5
"Hamilton County, Nebraska",31081,69.5
"Montgomery County, Ohio",39113,69.4
"Albany County, New York",36001,69.4
"Hill County, Texas",48217,69.3
"Lincoln County, Idaho",16063,69.3
"Franklin County, North Carolina",37069,69.2
"Edmunds County, South Dakota",46045,69.2
"Habersham County, Georgia",13137,69.2
"Hancock County, West Virginia",54029,69.2
"Hunt County, Texas",48231,69.2
"St. Martin Parish, Louisiana",22099,69.2
"McClain County, Oklahoma",40087,69.1
"White County, Arkansas",05145,69.1
"Grand Forks County, North Dakota",38035,69.1
"Madison County, Arkansas",05087,69.1
"Pike County, Mississippi",28113,69.1
"Moore County, Tennessee",47127,69.1
"Orange County, Texas",48361,69.1
"Edgecombe County, North Carolina",37065,69
"Richmond County, Georgia",13245,69
"Franklin County, Vermont",50011,69
"Mills County, Iowa",19129,69
"Avoyelles Parish, Louisiana",22009,69
"Atkinson County, Georgia",13003,69
"Fall River County, South Dakota",46047,69
"Banks County, Georgia",13011,69
"Carter County, Tennessee",47019,69
"McCormick County, South Carolina",45065,69
"Forest County, Wisconsin",55041,68.9
"Union County, Iowa",19175,68.9
"Decatur County, Georgia",13087,68.9
"Assumption Parish, Louisiana",22007,68.9
"Graham County, North Carolina",37075,68.9
"Wise County, Texas",48497,68.9
"Branch County, Michigan",26023,68.9
"Alcona County, Michigan",26001,68.9
"Harrison County, Ohio",39067,68.8
"Loudon County, Tennessee",47105,68.8
"Izard County, Arkansas",05065,68.8
"Racine County, Wisconsin",55101,68.8
"Macon County, Georgia",13193,68.8
"Halifax County, North Carolina",37083,68.8
"Gloucester County, New Jersey",34015,68.8
"Lewis County, Missouri",29111,68.7
"Payette County, Idaho",16075,68.7
"Chenango County, New York",36017,68.7
"Guthrie County, Iowa",19077,68.6
"Camden County, Missouri",29029,68.6
"Chickasaw County, Iowa",19037,68.6
"Worth County, Iowa",19195,68.6
"Jersey County, Illinois",17083,68.6
"Rutherford County, Tennessee",47149,68.6
"Carroll County, Ohio",39019,68.6
"Burke County, North Carolina",37023,68.6
"Decatur County, Iowa",19053,68.5
"Burleson County, Texas",48051,68.5
"Yadkin County, North Carolina",37197,68.5
"McCulloch County, Texas",48307,68.5
"Tift County, Georgia",13277,68.5
"Hill County, Montana",30041,68.5
"Lincoln County, Mississippi",28085,68.5
"Kershaw County, South Carolina",45055,68.5
"Marion County, South Carolina",45067,68.5
"Copiah County, Mississippi",28029,68.5
"Oneida County, New York",36065,68.4
"Perry County, Pennsylvania",42099,68.4
"Troup County, Georgia",13285,68.4
"Fulton County, Pennsylvania",42057,68.4
"Polk County, Missouri",29167,68.4
"Jones County, Mississippi",28067,68.4
"Venango County, Pennsylvania",42121,68.4
"Hancock County, Illinois",17067,68.4
"Ford County, Illinois",17053,68.4
"Webster County, Missouri",29225,68.4
"Wyoming County, Pennsylvania",42131,68.3
"Coshocton County, Ohio",39031,68.3
"Pickett County, Tennessee",47137,68.3
"Gilmer County, Georgia",13123,68.3
"Ashland County, Wisconsin",55003,68.3
"Washington County, Pennsylvania",42125,68.3
"Pasco County, Florida",12101,68.2
"Wexford County, Michigan",26165,68.1
"Erie County, New York",36029,68.1
"Athens County, Ohio",39009,68.1
"Shelby County, Texas",48419,68.1
"Wakulla County, Florida",12129,68.1
"Sumner County, Tennessee",47165,68.1
"Sullivan County, New Hampshire",33019,68
"Grundy County, Illinois",17063,68
"Grand Isle County, Vermont",50013,68
"McDonough County, Illinois",17109,68
"Jackson County, Missouri",29095,68
"Rogers County, Oklahoma",40131,68
"Amite County, Mississippi",28005,68
"Marshall County, West Virginia",54051,67.9
"Dale County, Alabama",01045,67.9
"Northumberland County, Pennsylvania",42097,67.9
"Clark County, Illinois",17023,67.9
"Ben Hill County, Georgia",13017,67.8
"Cattaraugus County, New York",36009,67.8
"Stephens County, Georgia",13257,67.8
"Douglas County, Illinois",17041,67.8
"Columbia County, Oregon",41009,67.8
"Waushara County, Wisconsin",55137,67.7
"Green Lake County, Wisconsin",55047,67.7
"Choctaw County, Mississippi",28019,67.6
"Allegany County, New York",36003,67.6
"Beaver County, Pennsylvania",42007,67.6
"Brooks County, Georgia",13027,67.6
"Jefferson County, West Virginia",54037,67.6
"Rains County, Texas",48379,67.6
"Coal County, Oklahoma",40029,67.6
"Orleans County, Vermont",50019,67.6
"Washington County, Maryland",24043,67.5
"Hardeman County, Texas",48197,67.5
"Pike County, Pennsylvania",42103,67.5
"Monroe County, Ohio",39111,67.5
"Clay County, Tennessee",47027,67.5
"Humboldt County, Iowa",19091,67.5
"Sequatchie County, Tennessee",47153,67.5
"Newton County, Missouri",29145,67.5
"Jackson County, West Virginia",54035,67.5
"Phelps County, Missouri",29161,67.5
"Schenectady County, New York",36093,67.5
"Lackawanna County, Pennsylvania",42069,67.5
"Nance County, Nebraska",31125,67.5
"Oregon County, Missouri",29149,67.4
"Martin County, North Carolina",37117,67.4
"Richland County, Ohio",39139,67.4
"Defiance County, Ohio",39039,67.4
"Garland County, Arkansas",05051,67.4
"Lowndes County, Mississippi",28087,67.3
"Philadelphia County, Pennsylvania",42101,67.3
"Knox County, Tennessee",47093,67.3
"Webster Parish, Louisiana",22119,67.2
"Logan County, Ohio",39091,67.2
"Trumbull County, Ohio",39155,67.2
"Butler County, Ohio",39017,67.2
"Colbert County, Alabama",01033,67.2
"Clay County, Missouri",29047,67.2
"La Salle Parish, Louisiana",22059,67.2
"Washington County, Oklahoma",40147,67.1
"Tripp County, South Dakota",46123,67.1
"Lycoming County, Pennsylvania",42081,67.1
"Fayette County, Pennsylvania",42051,67.1
"Morgan County, Alabama",01103,67.1
"Milwaukee County, Wisconsin",55079,67
"Baker County, Florida",12003,67
"Lamoille County, Vermont",50015,67
"Blair County, Pennsylvania",42013,67
"Plymouth County, Massachusetts",25023,67
"Cerro Gordo County, Iowa",19033,67
"Herkimer County, New York",36043,66.9
"Lanier County, Georgia",13173,66.9
"Garvin County, Oklahoma",40049,66.9
"Beckham County, Oklahoma",40009,66.9
"Waldo County, Maine",23027,66.9
"Sanilac County, Michigan",26151,66.9
"Newton County, Mississippi",28101,66.8
"Howell County, Missouri",29091,66.8
"Grady County, Oklahoma",40051,66.8
"Wabash County, Illinois",17185,66.8
"Conecuh County, Alabama",01035,66.8
"Shiawassee County, Michigan",26155,66.8
"Beaufort County, North Carolina",37013,66.8
"Hinds County, Mississippi",28049,66.8
"Forest County, Pennsylvania",42053,66.8
"Clinton County, Iowa",19045,66.8
"Madison County, Texas",48313,66.8
"Cass County, Nebraska",31025,66.7
"Marshall County, Alabama",01095,66.7
"Columbia County, New York",36021,66.7
"Crisp County, Georgia",13081,66.6
"Jackson County, Wisconsin",55053,66.5
"Hamilton County, Ohio",39061,66.5
"Franklin County, Maine",23007,66.5
"Cherokee County, Iowa",19035,66.5
"Hamilton County, Texas",48193,66.5
"Mohave County, Arizona",04015,66.5
"Allen County, Ohio",39003,66.5
"McLean County, North Dakota",38055,66.4
"Coos County, Oregon",41011,66.4
"Wayne County, Illinois",17191,66.4
"Treutlen County, Georgia",13283,66.4
"Red River County, Texas",48387,66.4
"Coffee County, Georgia",13069,66.4
"Davie County, North Carolina",37059,66.3
"Talladega County, Alabama",01121,66.3
"Woodbury County, Iowa",19193,66.3
"Hopkins County, Texas",48223,66.3
"Cherokee County, Texas",48073,66.3
"Hughes County, Oklahoma",40063,66.3
"Mitchell County, Georgia",13205,66.3
"Ellis County, Oklahoma",40045,66.3
"Toombs County, Georgia",13279,66.2
"Bay County, Florida",12005,66.2
"St. Clair County, Michigan",26147,66.2
"Cumberland County, New Jersey",34011,66.2
"Bulloch County, Georgia",13031,66.2
"Lampasas County, Texas",48281,66.1
"Clay County, Georgia",13061,66.1
"Montgomery County, Mississippi",28097,66.1
"Grayson County, Texas",48181,66.1
"Jones County, Georgia",13169,66.1
"Whiteside County, Illinois",17195,66.1
"Calhoun County, Michigan",26025,66
"Columbiana County, Ohio",39029,66
"Armstrong County, Pennsylvania",42005,66
"Mitchell County, Texas",48335,66
"Calcasieu Parish, Louisiana",22019,66
"Bleckley County, Georgia",13023,65.9
"Bryan County, Oklahoma",40013,65.9
"Champaign County, Ohio",39021,65.9
"Marion County, Alabama",01093,65.9
"Saline County, Arkansas",05125,65.9
"Robertson County, Texas",48395,65.9
"Harrison County, Texas",48203,65.9
"McDuffie County, Georgia",13189,65.9
"Crittenden County, Arkansas",05035,65.9
"Livingston County, New York",36051,65.8
"Oneida County, Wisconsin",55085,65.8
"Carter County, Oklahoma",40019,65.8
"Cedar County, Missouri",29039,65.8
"Bamberg County, South Carolina",45009,65.8
"Cleburne County, Alabama",01029,65.7
"Fayette County, Kentucky",21067,65.7
"Rock Island County, Illinois",17161,65.7
"Stephens County, Oklahoma",40137,65.7
"Osceola County, Iowa",19143,65.7
"Macomb County, Michigan",26099,65.6
"Crawford County, Michigan",26039,65.6
"Lincoln County, Oklahoma",40081,65.6
"Andrew County, Missouri",29003,65.6
"Spartanburg County, South Carolina",45083,65.6
"Johnson County, Texas",48251,65.6
"Hamilton County, New York",36041,65.6
"Yell County, Arkansas",05149,65.5
"Yates County, New York",36123,65.5
"Washita County, Oklahoma",40149,65.5
"Essex County, Vermont",50009,65.5
"Cass County, Missouri",29037,65.5
"Iredell County, North Carolina",37097,65.5
"Saratoga County, New York",36091,65.5
"Hampden County, Massachusetts",25013,65.5
"Union County, Kentucky",21225,65.5
"Anderson County, South Carolina",45007,65.5
"Grundy County, Missouri",29079,65.5
"Fayette County, Iowa",19065,65.5
"Delta County, Michigan",26041,65.4
"Brevard County, Florida",12009,65.4
"Real County, Texas",48385,65.4
"Boone County, Arkansas",05009,65.4
"Autauga County, Alabama",01001,65.3
"Scott County, Iowa",19163,65.3
"Henry County, Iowa",19087,65.3
"Crawford County, Pennsylvania",42039,65.3
"Lawrence County, Mississippi",28077,65.3
"Blount County, Alabama",01009,65.3
"Williams County, North Dakota",38105,65.2
"Johnson County, Georgia",13167,65.2
"Barry County, Missouri",29009,65.2
"Berkshire County, Massachusetts",25003,65.2
"Washington County, Florida",12133,65.2
"Clinton County, Illinois",17027,65.1
"Wasco County, Oregon",41065,65.1
"Muscogee County, Georgia",13215,65.1
"Washington County, Georgia",13303,65.1
"George County, Mississippi",28039,65.1
"Wayne County, Michigan",26163,65.1
"Nash County, North Carolina",37127,65.1
"Van Buren County, Michigan",26159,65.1
"Fayette County, Alabama",01057,65.1
"Vilas County, Wisconsin",55125,65
"Iberia Parish, Louisiana",22045,65
"Richland County, Montana",30083,65
"Webster County, Kentucky",21233,65
"Pontotoc County, Oklahoma",40123,65
"Belknap County, New Hampshire",33001,65
"Hancock County, Georgia",13141,65
"Marshall County, Iowa",19127,65
"Seneca County, Ohio",39147,64.9
"Texas County, Missouri",29215,64.9
"Vernon County, Missouri",29217,64.9
"Plaquemines Parish, Louisiana",22075,64.9
"Arkansas County, Arkansas",05001,64.9
"Kent County, Delaware",10001,64.9
"Atoka County, Oklahoma",40005,64.9
"Lake County, California",06033,64.8
"Bossier Parish, Louisiana",22015,64.8
"Screven County, Georgia",13251,64.8
"Genesee County, Michigan",26049,64.8
"Spalding County, Georgia",13255,64.8
"Bay County, Michigan",26017,64.8
"Steuben County, New York",36101,64.8
"Worcester County, Massachusetts",25027,64.7
"Lafayette County, Missouri",29107,64.7
"DeKalb County, Illinois",17037,64.7
"Providence County, Rhode Island",44007,64.7
"Dixon County, Nebraska",31051,64.7
"Nolan County, Texas",48353,64.7
"Boone County, Illinois",17007,64.6
"Mercer County, North Dakota",38057,64.6
"Lee County, North Carolina",37105,64.6
"Adair County, Missouri",29001,64.6
"Montague County, Texas",48337,64.6
"Cherokee County, North Carolina",37039,64.6
"Sullivan County, New York",36105,64.6
"Pike County, Alabama",01109,64.5
"Greenwood County, South Carolina",45047,64.5
"Whitfield County, Georgia",13313,64.5
"Holmes County, Mississippi",28051,64.5
"Abbeville County, South Carolina",45001,64.5
"Carroll County, Arkansas",05015,64.5
"Caldwell County, Missouri",29025,64.4
"Iowa County, Iowa",19095,64.4
"Washington County, Tennessee",47179,64.4
"Howard County, Iowa",19089,64.4
"Allen Parish, Louisiana",22003,64.4
"Lucas County, Ohio",39095,64.3
"Hamilton County, Florida",12047,64.3
"Pasquotank County, North Carolina",37139,64.3
"Warren County, Mississippi",28149,64.3
"Wilson County, North Carolina",37195,64.3
"Pacific County, Washington",53049,64.3
"Newton County, Georgia",13217,64.2
"Menard County, Illinois",17129,64.2
"Nelson County, North Dakota",38063,64.2
"Marinette County, Wisconsin",55075,64.2
"Erie County, Pennsylvania",42049,64.2
"Morton County, North Dakota",38059,64.2
"Barbour County, West Virginia",54001,64.2
"Lee County, Illinois",17103,64.2
"Tuscarawas County, Ohio",39157,64.2
"Jasper County, Illinois",17079,64.2
"Bladen County, North Carolina",37017,64.2
"Crook County, Oregon",41013,64.1
"Bastrop County, Texas",48021,64.1
"Manistee County, Michigan",26101,64.1
"Montour County, Pennsylvania",42093,64.1
"Columbus County, North Carolina",37047,64.1
"Ouachita Parish, Louisiana",22073,64.1
"Caddo Parish, Louisiana",22017,64.1
"Phillips County, Arkansas",05107,64
"Unicoi County, Tennessee",47171,64
"Madison Parish, Louisiana",22065,64
"Chippewa County, Michigan",26033,64
"Cole County, Missouri",29051,64
"Payne County, Oklahoma",40119,64
"Delta County, Texas",48119,64
"Wilson County, Tennessee",47189,64
"Twiggs County, Georgia",13289,63.9
"West Feliciana Parish, Louisiana",22125,63.9
"Warren County, New Jersey",34041,63.9
"Bradley County, Tennessee",47011,63.9
"Alleghany County, North Carolina",37005,63.9
"White County, Georgia",13311,63.9
"Clearwater County, Idaho",16035,63.9
"Perry County, Missouri",29157,63.9
"Linn County, Missouri",29115,63.8
"Lewis County, Idaho",16061,63.8
"Hyde County, North Carolina",37095,63.8
"Benton County, Mississippi",28009,63.8
"Cullman County, Alabama",01043,63.8
"Henry County, Illinois",17073,63.7
"Falls County, Texas",48145,63.7
"Caroline County, Maryland",24011,63.7
"Union County, South Dakota",46127,63.6
"Trempealeau County, Wisconsin",55121,63.6
"Summers County, West Virginia",54089,63.6
"Richmond County, New York",36085,63.6
"Jefferson County, Nebraska",31095,63.6
"Howard County, Missouri",29089,63.6
"Greene County, Mississippi",28041,63.5
"Cass County, Michigan",26027,63.5
"Clarke County, Alabama",01025,63.5
"St. Marys County, Maryland",24037,63.5
"Atlantic County, New Jersey",34001,63.5
"Tucker County, West Virginia",54093,63.5
"Little River County, Arkansas",05081,63.5
"Glynn County, Georgia",13127,63.5
"Stark County, Ohio",39151,63.5
"Darlington County, South Carolina",45031,63.4
"Pocahontas County, West Virginia",54075,63.4
"Pope County, Illinois",17151,63.4
"Ionia County, Michigan",26067,63.4
"Clearfield County, Pennsylvania",42033,63.4
"Chambers County, Texas",48071,63.4
"Okaloosa County, Florida",12091,63.4
"Monroe County, West Virginia",54063,63.4
"Edgar County, Illinois",17045,63.4
"Peach County, Georgia",13225,63.4
"Walsh County, North Dakota",38099,63.3
"Person County, North Carolina",37145,63.3
"York County, Pennsylvania",42133,63.3
"Hughes County, South Dakota",46065,63.3
"Wilcox County, Alabama",01131,63.3
"Indian River County, Florida",12061,63.2
"Rutherford County, North Carolina",37161,63.2
"Wright County, Missouri",29229,63.2
"Bibb County, Georgia",13021,63.2
"Russell County, Alabama",01113,63.2
"Muscatine County, Iowa",19139,63.2
"Pickens County, Alabama",01107,63.2
"Brunswick County, North Carolina",37019,63.2
"Carbon County, Pennsylvania",42025,63.2
"Sumter County, Alabama",01119,63.2
"Rankin County, Mississippi",28121,63.2
"Monroe County, Pennsylvania",42089,63.2
"St. Bernard Parish, Louisiana",22087,63.1
"Lee County, Iowa",19111,63.1
"Palo Pinto County, Texas",48363,63.1
"Sumter County, Georgia",13261,63.1
"Tensas Parish, Louisiana",22107,63.1
"Jackson County, Iowa",19097,63.1
"Lamar County, Georgia",13171,63.1
"Limestone County, Texas",48293,63.1
"Angelina County, Texas",48005,63
"Concordia Parish, Louisiana",22029,63
"Richardson County, Nebraska",31147,63
"Powell County, Montana",30077,63
"Grant Parish, Louisiana",22043,63
"Oglethorpe County, Georgia",13221,63
"Polk County, Iowa",19153,63
"Suffolk County, New York",36103,62.9
"Knox County, Ohio",39083,62.9
"Portage County, Ohio",39133,62.9
"Carroll County, Missouri",29033,62.9
"Forsyth County, North Carolina",37067,62.9
"Mercer County, Pennsylvania",42085,62.9
"Madison County, Tennessee",47113,62.8
"Ogle County, Illinois",17141,62.8
"Potter County, Texas",48375,62.8
"Allegheny County, Pennsylvania",42003,62.8
"Dodge County, Nebraska",31053,62.8
"Paulding County, Ohio",39125,62.8
"Barbour County, Alabama",01005,62.8
"St. Joseph County, Michigan",26149,62.7
"Tuscola County, Michigan",26157,62.7
"Appling County, Georgia",13001,62.7
"Hamilton County, Tennessee",47065,62.7
"Winnebago County, Illinois",17201,62.7
"Matagorda County, Texas",48321,62.7
"Ashland County, Ohio",39005,62.7
"Kaufman County, Texas",48257,62.7
"Irwin County, Georgia",13155,62.7
"Baltimore County, Maryland",24005,62.7
"Wyoming County, New York",36121,62.6
"McHenry County, North Dakota",38049,62.6
"Jeff Davis County, Georgia",13161,62.6
"Jones County, Texas",48253,62.6
"Sandusky County, Ohio",39143,62.6
"Ascension Parish, Louisiana",22005,62.5
"St. Helena Parish, Louisiana",22091,62.5
"Walton County, Georgia",13297,62.5
"Turner County, South Dakota",46125,62.5
"Poweshiek County, Iowa",19157,62.5
"Delaware County, New York",36025,62.5
"Hempstead County, Arkansas",05057,62.5
"Henry County, Alabama",01067,62.5
"Lake County, Ohio",39085,62.5
"Rusk County, Texas",48401,62.4
"Cabarrus County, North Carolina",37025,62.4
"Cotton County, Oklahoma",40033,62.4
"Horry County, South Carolina",45051,62.4
"Schoharie County, New York",36095,62.4
"Catoosa County, Georgia",13047,62.4
"Cumberland County, Tennessee",47035,62.4
"Woodford County, Kentucky",21239,62.4
"Hertford County, North Carolina",37091,62.4
"Cuyahoga County, Ohio",39035,62.3
"Auglaize County, Ohio",39011,62.3
"Claiborne Parish, Louisiana",22027,62.3
"Franklin County, Florida",12037,62.3
"Hardin County, Texas",48199,62.3
"Grays Harbor County, Washington",53027,62.3
"Wilkes County, North Carolina",37193,62.3
"Preston County, West Virginia",54077,62.3
"McKean County, Pennsylvania",42083,62.2
"Montgomery County, North Carolina",37123,62.2
"Brown County, Texas",48049,62.2
"Williams County, Ohio",39171,62.2
"New London County, Connecticut",09011,62.2
"Mifflin County, Pennsylvania",42087,62.2
"Lorain County, Ohio",39093,62.1
"Upshur County, Texas",48459,62.1
"Deer Lodge County, Montana",30023,62.1
"Transylvania County, North Carolina",37175,62.1
"Dougherty County, Georgia",13095,62.1
"DeSoto County, Florida",12027,62.1
"Moody County, South Dakota",46101,62
"Maries County, Missouri",29125,62
"Walthall County, Mississippi",28147,62
"Otsego County, New York",36077,62
"Wayne County, Pennsylvania",42127,62
"Putnam County, New York",36079,62
"Vermilion Parish, Louisiana",22113,61.9
"Missaukee County, Michigan",26113,61.9
"Washington County, Illinois",17189,61.9
"Fairfield County, South Carolina",45039,61.9
"Rockingham County, New Hampshire",33015,61.9
"St. James Parish, Louisiana",22093,61.9
"Miami County, Ohio",39109,61.9
"Kent County, Maryland",24029,61.9
"Clark County, Missouri",29045,61.9
"Huron County, Ohio",39077,61.8
"Carroll County, New Hampshire",33003,61.8
"Linn County, Iowa",19113,61.8
"Newton County, Texas",48351,61.8
"Harford County, Maryland",24025,61.8
"Madison County, New York",36053,61.7
"Jefferson County, Pennsylvania",42065,61.7
"Candler County, Georgia",13043,61.7
"Gage County, Nebraska",31067,61.7
"Newberry County, South Carolina",45071,61.7
"Prowers County, Colorado",08099,61.7
"Huntingdon County, Pennsylvania",42061,61.7
"Orange County, New York",36071,61.6
"Polk County, Florida",12105,61.6
"Pickens County, South Carolina",45077,61.6
"Lexington County, South Carolina",45063,61.6
"Lake County, Florida",12069,61.6
"Broome County, New York",36007,61.6
"Tattnall County, Georgia",13267,61.5
"Sumter County, South Carolina",45085,61.5
"Catawba County, North Carolina",37035,61.5
"Guilford County, North Carolina",37081,61.5
"Delaware County, Iowa",19055,61.5
"Monroe County, New York",36055,61.5
"Mineral County, Montana",30061,61.5
"Gadsden County, Florida",12039,61.4
"Baldwin County, Alabama",01003,61.4
"Effingham County, Illinois",17049,61.4
"Harrison County, Missouri",29081,61.4
"Smith County, Texas",48423,61.4
"Dorchester County, Maryland",24019,61.4
"Webster County, Nebraska",31181,61.4
"Woodford County, Illinois",17203,61.3
"Ulster County, New York",36111,61.3
"Ste. Genevieve County, Missouri",29186,61.3
"Adams County, Pennsylvania",42001,61.3
"Washington County, Vermont",50023,61.3
"Hancock County, Maine",23009,61.3
"Essex County, New York",36031,61.2
"Rapides Parish, Louisiana",22079,61.2
"York County, South Carolina",45091,61.2
"Long County, Georgia",13183,61.2
"Franklin County, Ohio",39049,61.2
"Randolph County, Georgia",13243,61.1
"Titus County, Texas",48449,61.1
"Lawrence County, Missouri",29109,61.1
"Winston County, Mississippi",28159,61.1
"Pender County, North Carolina",37141,61.1
"Montgomery County, Arkansas",05097,61.1
"Buchanan County, Iowa",19019,61.1
"Ramsey County, North Dakota",38071,61.1
"Clarendon County, South Carolina",45027,61
"Coos County, New Hampshire",33007,61
"Flagler County, Florida",12035,61
"Charlotte County, Florida",12015,61
"Jasper County, Iowa",19099,61
"Buncombe County, North Carolina",37021,60.9
"Bullock County, Alabama",01011,60.9
"Noble County, Oklahoma",40103,60.9
"Mobile County, Alabama",01097,60.9
"Taney County, Missouri",29213,60.9
"Josephine County, Oregon",41033,60.9
"Coffee County, Alabama",01031,60.8
"Sabine Parish, Louisiana",22085,60.8
"Madison County, Florida",12079,60.8
"Knox County, Texas",48275,60.7
"Highlands County, Florida",12055,60.7
"Dukes County, Massachusetts",25007,60.6
"Moniteau County, Missouri",29135,60.6
"Barron County, Wisconsin",55005,60.6
"Dorchester County, South Carolina",45035,60.6
"Reynolds County, Missouri",29179,60.6
"Pierce County, Washington",53053,60.5
"Hamlin County, South Dakota",46057,60.5
"Chippewa County, Wisconsin",55017,60.5
"Nicholas County, West Virginia",54067,60.5
"Berks County, Pennsylvania",42011,60.5
"Florence County, South Carolina",45041,60.5
"Columbia County, Pennsylvania",42037,60.5
"Wichita County, Texas",48485,60.5
"Saline County, Missouri",29195,60.5
"Warren County, Pennsylvania",42123,60.5
"Clay County, North Carolina",37043,60.5
"Sullivan County, Missouri",29211,60.5
"Erie County, Ohio",39043,60.4
"Henry County, Ohio",39069,60.4
"Polk County, Wisconsin",55095,60.4
"Nez Perce County, Idaho",16069,60.4
"Oldham County, Kentucky",21185,60.4
"Camden County, New Jersey",34007,60.4
"Scott County, Kentucky",21209,60.3
"De Soto Parish, Louisiana",22031,60.3
"Otsego County, Michigan",26137,60.3
"Cape Girardeau County, Missouri",29031,60.3
"Bienville Parish, Louisiana",22013,60.3
"Pulaski County, Arkansas",05119,60.2
"Manitowoc County, Wisconsin",55071,60.2
"Gulf County, Florida",12045,60.2
"Greene County, Alabama",01063,60.2
"Okanogan County, Washington",53047,60.1
"Saginaw County, Michigan",26145,60.1
"Bosque County, Texas",48035,60.1
"LaFourche Parish, Louisiana",22057,60.1
